age,gdp,c,pop
2000,10252347,USA,282
2000,4887519,Japan,126
2000,1943143,German,81
2000,1658116,UK,81
2000,1362247,France,58
2000,1143828,Italy,56
2000,744773,Canada,30
2001,10581822,USA,285
2001,4303542,Japan,127
2001,1944089,German,81
2001,1638763,UK,59
2001,1376453,France,59
2001,1167002,Italy,59
2001,739005,Canada,30
2002,10936418,USA,288
2002,4115115,Japan,127
2002,2068718,German,81
2002,1780020,UK,59
2002,1494354,France,59
2002,1270770,Italy,57
2002,760644,Canada,31
2003,11458246,USA,290
2003,4445659,Japan,127
2003,2496032,German,81
2003,2051011,UK,59
2003,1840409,France,60
2003,1574085,Italy,57
2003,895575,Canada,31
2004,12213730,USA,293
2004,4815168,Japan,127
2004,2809310,German,81
2004,2412133,UK,59
2004,2115834,France,60
2004,1803305,Italy,57
2004,1026680,Canada,31
2005,13036637,USA,296
2005,4755410,Japan,127
2005,2845731,German,81
2005,2532804,UK,60
2005,2196071,France,60
2005,1857478,Italy,58
2005,1173158,Canada,32
2006,13814609,USA,298
2006,4530376,Japan,127
2006,2992043,German,81
2006,2706081,UK,60
2006,2318474,France,61
2006,1947819,Italy,58
2006,1319333,Canada,32
2007,14451860,USA,301
2007,4515263,Japan,127
2007,3421053,German,81
2007,3093582,UK,61
2007,2657076,France,62
2007,2210179,Italy,58
2007,1468822,Canada,32
2008,14712845,USA,304
2008,5037908,Japan,127
2008,3730166,German,80
2008,2921613,UK,62
2008,2918490,France,62
2008,2398945,Italy,59
2008,1552932,Canada,33
2009,14448932,USA,307
2009,5231383,Japan,127
2009,3397586,German,80
2009,2690060,France,62
2009,2412317,UK,62
2009,2191109,Italy,59
2009,1374624,Canada,33
2010,14992052,USA,309
2010,5700098,Japan,127
2010,3396354,German,80
2010,2642609,France,62
2010,2481579,UK,62
2010,2134017,Italy,60
2010,1617266,Canada,34
2011,15542582,USA,311
2011,6157459,Japan,127
2011,3744408,German,80
2011,2861408,France,63
2011,2659882,UK,63
2011,2291991,Italy,60
2011,1792832,Canada,34
2012,16197007,USA,314
2012,6203213,Japan,127
2012,3527344,German,80
2012,2704017,UK,63
2012,2683825,France,63
2012,2087077,Italy,60
2012,1828685,Canada,34
2013,16784851,USA,316
2013,5155717,Japan,127
2013,3732743,German,81
2013,2811077,France,63
2013,2783251,UK,64
2013,2141315,Italy,61
2013,1847206,Canada,35
2014,17527258,USA,318
2014,4850413,Japan,127
2014,3883920,German,81
2014,3065521,UK,65
2014,2852165,France,64
2014,2159133,Italy,60
2014,1803534,Canada,35
2015,18238301,USA,320
2015,4389475,Japan,127
2015,3356235,German,82
2015,2932784,UK,65
2015,2438207,France,64
2015,1835899,Italy,61
2015,1556128,Canada,36
2016,18745075,USA,323
2016,4922538,Japan,127
2016,3467498,German,82
2016,2693247,UK,65
2016,2471285,France,64
2016,1875797,Italy,61
2016,1528244,Canada,36
2017,19542980,USA,325
2017,4866864,Japan,127
2017,3682602,German,83
2017,2662484,UK,66
2017,2595151,France,65
2017,1961796,Italy,65
2017,1649518,Canada,37
2018,20611861,USA,327
2018,4954806,Japan,127
2018,3963767,German,83
2018,2857316,UK,66
2018,2787863,France,65
2018,2091544,Italy,60
2018,1721905,Canada,37
2019,21433226,USA,328
2019,5082465,Japan,126
2019,3861123,German,83
2019,2826441,UK,67
2019,2715518,France,65
2019,2003576,Italy,60
2019,1741496,Canada,38










